name_x,year,count
scrambled eggs,1900.0,145
congress water,1900.0,185
salad-beetroot,1900.0,1
french mustard,1865.0,3
"schreider, dry",1865.0,1
"omelet, plain",1865.0,5
salt mackerel,1901.0,57
cracked wheat,1901.0,36
scrambled eggs,1901.0,83
congress water,1901.0,62
"pommard, 1889",1900.0,1
congress water,1865.0,4
"omelet, plain",1901.0,48
scotch whiskey,1900.0,28
cracked wheat,1900.0,62
salt mackerel,1900.0,133
boneless bacon,1900.0,1
vichy (syphon),1900.0,1
tarte de peche,1900.0,1
chicken halibut,1900.0,31
"salad, chicken",1900.0,11
virginia bacon,1900.0,3
maryland club,1900.0,17
panachee salad,1900.0,4
potatoes- fried,1900.0,1
deviled crabs,1900.0,10
"omelet, plain",1900.0,32
anheuser busch,1900.0,5
"curacoa, orange",1900.0,2
"gin, plymouth",1900.0,10
"figs, in syrup",1900.0,5
english walnuts,1900.0,31
scotch whiskey,1901.0,10
italian salad,1900.0,12
cold consomme,1900.0,8
french mustard,1900.0,4
eggs with bacon,1900.0,3
"chicken, half",1900.0,11
blue bill duck,1900.0,1
codfish balls,1901.0,7
corn on the cob,1900.0,2
"preserves, 20",1900.0,1
bacon with eggs,1900.0,1
pieds de porc,1900.0,1
codfish balls,1900.0,23
broiled salmon,1901.0,6
lobster stuffed,1901.0,2
potatoes fried,1901.0,3
english walnuts,1901.0,19
old jamaica rum,1901.0,6
sliced tomatoe,1900.0,1
"salad, chicken",1901.0,19
cold consomme,1901.0,11
deviled crabs,1901.0,8
corn on the cob,1901.0,5
italian salad,1901.0,4
small beefsteak,1901.0,3
club saucisses,1900.0,1
assmannshaeuser,1900.0,1
calisaya bark,1901.0,2
roast on toast,1901.0,1
"salad, italian",1901.0,2
broma per pot,1901.0,1
chateau lafitte,1901.0,2
woodford club,1901.0,1
early june peas,1906.0,3
blackberry pie,1901.0,7
scotch whiskey,1906.0,4
salt mackerel,1906.0,9
scrambled eggs,1906.0,13
"prunes, stewed",1901.0,7
"biscuit, pilot",1901.0,2
vienna zwieback,1901.0,1
salt mackerel,1905.0,14
consomme (cold),1905.0,3
virginia bacon,1905.0,4
"salad, chicken",1905.0,5
kentucky toddy,1905.0,2
st croix flip,1905.0,1
salt mackerel,1907.0,2
sirloin (for 2),1907.0,1
"gin, plymouth",1901.0,8
bromo seltzer,1900.0,1
broiled salmon,1900.0,17
potatoes fried,1900.0,4
schweizer käse,1900.0,3
nuits burgundy,1901.0,1
maryland club,1901.0,1
unsalted butter,1901.0,2
schweizer käse,1901.0,9
salted pecans,1900.0,1
egg nogg glass,1901.0,1
calisaya bark,1906.0,1
à l'indienne,1901.0,1
"omelet, plain",1906.0,5
codfish balls,1907.0,2
scrambled eggs,1907.0,11
french mustard,1907.0,1
raspberry jelly,1901.0,2
lobster stuffed,1900.0,1
russ sardines,1901.0,3
buttered toast,1901.0,1
cracked wheat,,1
passion fruit,1901.0,1
bacon with eggs,1901.0,3
burgundy nuits,1900.0,2
"lager, pilsener",1901.0,2
blackberry pie,1900.0,2
"chicken, half",1901.0,2
parsnip cakes,1907.0,1
"salad, chicken",1892.0,1
congress water,1892.0,7
scrambled eggs,1905.0,11
bouillon froid,1906.0,1
salt mackerel,1898.0,2
gateau domino,1901.0,1
chicken halibut,1899.0,1
scrambled eggs,1899.0,18
chateau lafitte,1891.0,1
congress water,1883.0,4
stuffed chicken,1901.0,1
toasted muffins,1900.0,1
broil halibut,1906.0,2
new strg beans,1906.0,1
slic tomatoes,1906.0,3
french pickles,1882.0,1
scrambled eggs,1882.0,3
congress water,1882.0,3
chicken halibut,1896.0,2
small beefsteak,1900.0,5
puree bretonne,1906.0,1
italian salad,1906.0,3
cider per quart,1900.0,2
imperial spring,1900.0,1
"salad, chicken",1907.0,1
cold consomme,1907.0,4
schweizer käse,1907.0,1
french mustard,1889.0,1
scotch whiskey,1897.0,1
cracked wheat,1895.0,4
scrambled eggs,1895.0,2
deviled crabs,1905.0,2
lobster stuffed,1905.0,1
chicken halibut,1907.0,4
anheuser busch,1905.0,1
"eggs fried, two",1900.0,1
"oatmeal, plain",1900.0,2
"omelet, plain",1899.0,3
english stilton,1900.0,2
coffee parfait,1900.0,2
cracked wheat,1880.0,1
english walnuts,1866.0,2
congress water,1881.0,3
old jamaica rum,1900.0,11
english walnuts,1905.0,10
"chambertin, '92",1900.0,1
pommes chateau,1906.0,2
"beef tea, cup",1900.0,4
english walnuts,1881.0,5
"omelet, plain",1905.0,2
old jamaica rum,1899.0,3
maryland club,1899.0,2
lemp's st louis,1899.0,1
congress water,1899.0,6
isabella salad,1906.0,3
cold consomme,1892.0,2
onions boiled,1892.0,1
fried haddock,1905.0,1
english walnuts,1906.0,1
narbonne honey,1900.0,1
scrambled eggs,1856.0,2
highland punch,1856.0,1
tomato chutney,1900.0,2
grenoble nuts,1859.0,1
cracked wheat,1859.0,2
egg plant fried,1905.0,4
appetit salad,1905.0,5
creamed spinach,1905.0,2
lemp's st louis,1905.0,6
old roxbury rye,1905.0,3
"boonekamp, a e",1905.0,1
cracked wheat,1898.0,1
frascati cake,1906.0,1
congress water,1905.0,1
cracked wheat,1896.0,4
salt mackerel,1896.0,1
scrambled eggs,1896.0,3
fried haddock,1900.0,8
french crullers,1900.0,3
boiled haddock,1900.0,1
french mustard,1887.0,1
scrambled eggs,1887.0,2
scotch whiskey,1891.0,1
"omelet, plain",1858.0,1
scrambled eggs,1858.0,2
raspail-combier,1900.0,1
calisaya bark,1900.0,2
french potatoes,1908.0,1
sloe gin glass,1908.0,2
canard grille,1897.0,1
english walnuts,1899.0,1
french mustard,1864.0,1
blackberry pie,1905.0,2
"beef tea, cup",1901.0,1
eggs with bacon,1901.0,2
congress water,1898.0,2
orange sherbet,1894.0,1
preserved corn,1894.0,2
volail le reine,1905.0,1
sherry golden,1905.0,1
iced cucumbers,1901.0,1
salt mackerel,1899.0,5
codfish balls,1856.0,1
cracked wheat,1899.0,2
salt mackerel,1889.0,1
chateau margauz,1900.0,2
"claret, punch",1900.0,1
cracked wheat,1905.0,7
broiled salmon,1907.0,1
codfish balls,1892.0,1
scrambled eggs,1892.0,2
"lamb chops, 2",1905.0,1
salt mackerel,1893.0,2
blackberry tart,1893.0,1
congress water,1885.0,2
scotch whiskey,1885.0,1
appetit salad,1907.0,2
egg plant fried,1907.0,1
"pommard, 1889",1907.0,4
lemp's st louis,1907.0,3
scrambled eggs,1859.0,1
deviled crabs,1906.0,1
salt mackerel,1892.0,4
gateau au rhum,1901.0,1
"omelet, plain",1892.0,1
cracked wheat,1881.0,1
english walnuts,1862.0,1
chateau lafitte,1896.0,1
"cream, goblet",1906.0,1
assmannshaeuser,1906.0,2
italian salad,1889.0,1
"pommard, 1893",1907.0,2
early june peas,1907.0,4
merlans bercy,1906.0,1
english walnuts,1884.0,1
roast on toast,1907.0,1
chateau lafitte,1905.0,7
chateau lafitte,1884.0,1
blackberry pie,1854.0,1
stuffed tomato,1906.0,1
scrambled eggs,1881.0,1
salt mackerel,1891.0,1
cracked wheat,1891.0,2
scrambled eggs,,17
roast beef cold,1905.0,4
raisins or figs,1905.0,3
pilsener beer,1905.0,5
"pol roger, dry",1905.0,2
g v ch giscours,1905.0,1
sauternes 1874,1888.0,2
curacao jelly,1888.0,3
french potatoes,1900.0,1
english walnuts,1873.0,1
cold consomme,1896.0,1
jus de tomate,1965.0,1
consomme (cold),1964.0,1
corn on the cob,1964.0,4
pol roger  1945,1956.0,1
corn on the cob,,2
consumme nature,,2
fruit de saison,,3
cafe espresso,,2
ovomaltine warm,1983.0,1
puree bretonne,,1
jus de tomate,1977.0,1
scrambled eggs,1977.0,2
"campari, soda",,1
italian salad,,3
porter (tuborg),,2
maarum vand fl,,1
rotlack (rott),,1
jus de tomate,,2
ensalada chef,1975.0,1
dopff riesling,,1
jus de tomate,1966.0,2
cafe espresso,1966.0,1
crab cocktail,1976.0,1
selleriesalat,1975.0,1
scotch whiskey,,1
coconut pudding,,1
mx green salad,,1
"vermouth, rot",,1
scrambled eggs,1955.0,1
hummer vom rost,1969.0,1
eggs bohemienne,1971.0,1
selleriesalat,,1
crawfish tails,,1
hunerpastetli,1966.0,2
2 spiegeleier,1966.0,1
calvados 1945,1977.0,2
meursault 1962,1977.0,1
scrambled eggs,1941.0,6
scrambled eggs,1934.0,1
scrambled eggs,1920.0,1
bromo seltzer,1920.0,1
scrambled eggs,1940.0,3
bromo seltzer,,1
bromo seltzer,1939.0,2
buck gwoo gong,,1
buck gwoo gong,1939.0,1
almond chicken,,12
hennessy 3 star,,7
padre sec 1933,,2
heidsieck 1928,,1
sloe gin collin,,1
claret cobbler,,2
"omelet, plain",1938.0,1
scrambled eggs,1939.0,10
"omelet, plain",,2
"omelet, plain",1939.0,1
fortune cakes,,7
"lamb chops, 2",,1
salted pecans,1915.0,1
corn on the cob,1969.0,1
cafe espresso,1963.0,1
schweizer käse,1910.0,23
congress water,1910.0,12
"gin, plymouth",1910.0,3
scrambled eggs,1910.0,9
gefullte oliven,1910.0,2
french potatoes,1910.0,2
italian salad,1910.0,2
"salad, chicken",1910.0,1
new corn on cob,1969.0,1
shrimp newburgh,1969.0,1
seafood gumbo,1969.0,2
jus de tomate,1969.0,2
scrambled eggs,1969.0,5
schweizer käse,1969.0,2
chocolate sauce,1969.0,1
raspberry jelly,1969.0,1
cold consomme,1969.0,1
italian salad,1971.0,3
perch meuniere,1971.0,1
scrambled eggs,1971.0,4
selleriesalat,1971.0,2
jus de tomate,1972.0,3
salad lorenzo,1972.0,1
the de ceylan,1972.0,2
potatoes fried,1972.0,1
martell  vsop,1971.0,1
piments farcis,1972.0,2
gemischtersalat,1972.0,1
steamed shrimp,1972.0,1
italian salad,1973.0,1
the de ceylan,1973.0,1
jus de tomate,1973.0,1
orangen juice,1974.0,1
schweizer käse,1974.0,1
st magdalener,1976.0,1
delice ecossais,1978.0,1
portion salat,1979.0,1
scrambled eggs,1967.0,2
gourmet dinners,1967.0,1
selleriesalat,1958.0,3
italian salad,1958.0,1
scrambled eggs,1958.0,2
deviled crabs,1958.0,1
coffee parfait,1958.0,1
sliced poularde,1958.0,1
drambuie (2cl),1958.0,1
schweizer käse,1958.0,2
shark fin soup,1958.0,1
canape greville,1957.0,1
jus de tomate,1957.0,1
cold consomme,1957.0,1
italian salad,1957.0,1
utica club beer,1957.0,1
