name_x,name_y,count
Scrambled Eggs,Salt mackerel,93
Apple tartlets,Stuffed Olives,84
Prunelle Brandy,Apple tartlets,51
Prunelle Brandy,Stuffed Olives,50
Cracked Wheat,Scrambled Eggs,40
Congress Water,"Gin, Plymouth",38
Congress Water,SCOTCH WHISKEY,36
Salt mackerel,"Omelet, plain",34
Scrambled Eggs,Congress Water,32
Bromo Seltzer,Stuffed Tomato,31
Hamburg Chicken,Stuffed Tomato,31
Cracked Wheat,Salt mackerel,30
Scrambled Eggs,Buttered Toast,30
Cold Consomme,Stuffed Prunes,29
Roast Chicken,Sea Tag oysters,28
Salt mackerel,Congress Water,23
Scrambled Eggs,Deviled Crabs,22
Scrambled Eggs,Bacon with Eggs,22
Stuffed Tomato,Coffee Parfait,22
Scrambled Eggs,Broiled Salmon,21
Cold Consomme,Stuffed Tomato,20
Congress Water,Nuits Burgundy,19
Scrambled Eggs,"Omelet, plain",19
Congress Water,"Omelet, plain",17
"Omelet, plain",Small beefsteak,17
Buttered Toast,Stewed Rhubarb,17
Salt mackerel,Deviled Crabs,16
Scrambled Eggs,Codfish Balls,15
Congress Water,"Lager, Pilsener",15
Blackberry Pie,Roast Chicken,15
Salt mackerel,"Gin, Plymouth",14
Blackberry Pie,Half Cantaloupe,14
Stuffed Tomato,Stuffed Prunes,14
Congress Water,"Salad, Chicken",12
Salt mackerel,Codfish Balls,12
Congress Water,Old Jamaica Rum,11
"Gin, Plymouth","Lager, Pilsener",11
Scrambled Eggs,Half Cantaloupe,11
Deviled Crabs,Buttered Toast,11
Roast Chicken,Potage Lamballe,11
Potage Lamballe,Sea Tag oysters,11
Half Cantaloupe,Stewed Rhubarb,11
Congress Water,Deviled Crabs,10
"Salad, Chicken",Stuffed Tomato,10
Stewed Rhubarb,Florida Orange,10
SCOTCH WHISKEY,Nuits Burgundy,9
"Omelet, plain","Salad, Chicken",9
Blackberry Pie,Cold Consomme,9
Milk Crackers,Buttered Toast,9
Stuffed Tomato,Pintade (demie),9
Congress Water,Chicken Halibut,8
Cracked Wheat,Codfish Balls,8
Scrambled Eggs,SCOTCH WHISKEY,8
Salt mackerel,Eggs with bacon,8
"Omelet, plain",Eggs with bacon,8
Schweizer Käse,French potatoes,8
Potage Lamballe,Timbale Turenne,8
Roast Chicken,Timbale Turenne,8
Stuffed Tomato,Honey Ice Cream,8
Salt mackerel,Broiled Salmon,7
Cracked Wheat,Broiled Salmon,7
Salt mackerel,SCOTCH WHISKEY,7
"Omelet, plain",Bacon with Eggs,7
Congress Water,Burgundy Nuits,7
Scrambled Eggs,Fried Haddock,7
Jus de tomate,The de Ceylan,7
